id,city
1515,Chicago Park District
1642,Chippewa County
115,Louisville Metro Government
116,Louisville Metro Government - Office of Civic Innovation
117,Louisville Metro
1611,City & Borough of Juneau
120,Bexar County Small Business & Entrepreneurship Dept.
985,"City & Borough of Juneau, AK"
1595,City and County of San Francisco
295,City and County San Francisco
419,"City of Ada, OK"
420,"City of Akron, OH"
986,"City of Albany, GA"
74,"City of Albany, NY"
421,"City of Albuquerque, NM"
132,MARTA
905,"City of Alexandria, VA"
422,"City of Alice, TX"
1687,City of American Fork
423,"City of Ames, IA"
139,Develop Louisville
140,"City of Kansas City, Missouri "
141,Rhode Island Infrastructure Bank
26,"City of Anchorage, Alaska"
987,"City of Andover, KS"
1413,"City of Angleton, TX"
1418,"City of Angleton, TX"
988,"City of Ankeny, IA"
1688,"City of Anna, TX"
1689,"City of Apple Valley, MN"
1129,Commonwealth of Kentucky
1490,"State of New South Wales, Australia"
424,"City of Arvada, CO"
988,"City of West Allis, WI"
1521,"City of Sudbury, MA"
989,"City of Asbury Park, NJ"
933,"Placer County, CA"
606,"City of Champlin, MN"
943,"City of Asheville, NC"
425,"City of Aspen, CO"
56,"City of Atlanta, GA"
990,"City of Auburn, AL"
99,"City of Aurora, Co"
273,New City Somelace
274,New Place There
368,"City of Austin, TX"
426,"City of Avondale, AZ"
906,City of Baltimore
1690,"City of Bastrop, TX"
991,"City of Batavia, IL"
320,"City of Baton Rouge, LA"
992,"City of Battle Creek, MI"
1414,"City of Baytown, TX"
427,"City of Beaver, UT"
428,"City of Bedford, TX"
1539,"City of Bellingham, WA"
429,"City of Benicia, CA"
1691,City of Benton Harbor
430,City of Berkeley
993,"City of Berwyn, IL"
431,"City of Bessemer, AL"
432,"City of Beverly Hills, CA"
994,"City of Biddeford, ME"
995,"City of Birmingham, MI"
996,"City of Bloomington, IL"
1692,City of Bluffdale
1693,City of Boston
332,Istanbul
16,"City of Boston, Department of Innovation of Technology"
29,"City of Boulder, CO"
23,"City of Bowie, TX"
997,"City of Bowling Green, KY"
433,"City of Boynton Beach, FL"
340,City of Hillsboro
998,"City of Brandon, MS"
434,"City of Brenham, TX"
999,"City of Brewer, ME"
435,"City of Brighton, CO"
1000,"City of Bristol, CT"
436,"City of Buena Park, CA"
820,"City of Buffalo, NY"
1933,"City of Bullard, TX"
354,Wangaratta
437,"City of Burbank, CA"
907,"City of Burlingame, CA"
28,"City of Burlington, VT"
1629,City of Burton
438,"City of Caldwell, ID"
439,"City of Canon City, CO"
364,City of Greater Bendigo
260,"City of Carlsbad, CA"
1694,City of Casa Grande
440,"City of Cedar City, UT"
1001,"City of Cedar Falls, IA"
1002,"City of Cedar Hill, TX"
441,"City of Cedar Hills, UT"
442,"City of Cedar Park, TX"
396,Giza
443,"City of Centennial, CO"
1695,City of Centerville
,
444,"City of Chandler, AZ"
406,Boston Water and Sewer Commission
1575,City of Charleston
908,"City of Charlotte, NC"
1696,City of Cherry Hills Village
445,"City of Cheyenne, WY"
,
414,Buena Vista and Pocahontas County SWCDs
415,California American Water
721,"City of Chula Vista, CA"
30,"City of Cincinnati, OH"
418,City and County of Denver
1697,City of Clearfield
342,"City of Clearwater, FL"
941,"City of Cleburne, TX"
25,"City of Cleveland, OH"
1003,"City of Clifton, NJ"
446,City of Clovis (NM)
1004,"City of Colby, KS"
1005,"City of College Park, GA"
1698,"City of College Park, MD"
813,"City of College Station, TX"
1624,City of Collierville
1006,"City of Columbia, IL"
1007,"City of Columbia, SC"
404,City of Columbus
447,City of Columbus (NM)
1008,"City of Columbus, MS"
391,"City of Columbus, WI"
1699,City of Commerce City
79,"City of Concord, CA"
343,"City of Coppell, TX"
337,"City of Coral Gables, FL"
722,"City of Coronado, CA"
1412,"City of Corpus Christi, TX"
448,"City of Cortez, CO"
781,"City of Costa Mesa, CA"
450,"City of Cottonwood Heights, UT"
449,"City of Cottonwood, AZ"
892,"City of Creston, IA"
1009,"City of Crystal Lake, IL"
451,"City of Cudahy, CA"
1010,"City of Cullman, AL"
452,"City of Culver City, CA"
453,"City of Dacono, CO"
1621,City of Dade City
24,"City of Dallas, TX"
773,"City of Daly City, CA"
1011,"City of Danville, VA"
62,"City of Dayton, OH"
1013,"City of Dearborn, MI"
1014,"City of Decatur, AL"
363,"City of Decatur, GA"
1015,"City of Decatur, IL"
1012,"City of DeKalb, IL"
723,"City of Del Mar, CA"
454,"City of Del Rio, TX"
455,"City of Delano, CA"
1700,City of Denton
265,"City of Denver, CO"
1016,City of Detroit Water and Sewerage Dept.
1915,City of Diamond Bar
1654,City of Dickinson
1017,"City of Dixon, IL"
456,"City of Doral, FL"
1018,"City of Dothan, Alabama"
1019,"City of Douglasville, GA"
1701,City of Dover
457,"City of Dublin, CA"
85,"City of Dublin, Ireland"
357,"City of Dublin, Ohio"
341,"City of Dubuque, IA"
1857,City of Dunwoody
458,"City of Duquesne, PA"
459,"City of Durango, CO"
909,"City of Durham, NC"
1702,"City of Durham, NC"
751,"City of Eagan, MN"
871,"City of Eagle Pass, TX"
460,"City of East Carbon, UT"
461,"City of East Orange, NJ"
462,"City of East Palo Alto, CA"
1020,"City of East Providence, RI"
1703,City of Easton
463,"City of Eau Claire, WI"
,
1021,"City of Edwardsville, IL"
1419,"City of El Campo, TX"
464,"City of El Paso de Robles, CA"
266,"City of El Paso, TX"
1911,City of Elgin
1022,"City of Elmhurst, IL"
724,"City of Encinitas, CA"
465,"City of Englewood, CO"
466,"City of Ephraim, UT"
366,"City of Erie, PA"
1850,City of Escondido
,
1704,City of Euless
1705,City of Evans
1023,"City of Evanston, IL"
467,City of Everett (WA)
468,"City of Fairburn, GA"
270,"City of Fairhope, AL"
1550,City of Fairview
1537,"City of Falls Church, Va."
469,"City of Farmers Branch, TX"
1024,"City of Farmington Hills, MI"
1674,City of Fayetteville AR
1025,"City of Fayetteville, AR"
1026,"City of Fayetteville, GA"
1027,"City of Fayetteville, NC"
1645,City of Federal Way
470,"City of Fenton, MI"
369,"City of Ferndale, MI"
1706,City of Fernley
1028,"City of Fitchburg, MA"
471,"City of Flagstaff, AZ"
1924,"City of Florence, Alabama"
1029,"City of Foley, AL"
845,"City of Folsom, CA"
472,"City of Forest Grove, OR"
473,"City of Fort Collins, Co"
911,"City of Fort Lauderdale, FL"
1560,City of Fort Wayne
474,"City of Fort Worth, TX"
475,"City of Fountain, CO"
1501,"City of Framingham, MA"
135,"City of Franklin, Tennessee"
1487,"City of Franklin, TN"
1655,"City of Fraser, Michigan"
1030,"City of Freeport, IL"
1707,"City of Freeport, NY"
1477,"City of Frisco, TX"
476,"City of Gadsden, AL"
1031,"City of Gainesville, GA"
477,City of Gaithersburg (MD)
478,"City of Gallup, NM"
479,"City of Galveston, TX"
1032,"City of Garden City, GA"
480,"City of Garland, TX"
263,"City of Gary, IN"
,
1033,"City of Geneseo, IL"
362,"City of Georgetown, TX"
1558,City of Germantown
481,City of Glendale (AZ)
1406,"City of Gloucester, MA"
482,"City of Golden, CO"
1034,"City of Goldsboro, NC"
483,"City of Goodyear, AZ"
484,"City of Grand Prairie, TX"
,
485,City of Greeley (CO)
486,"City of Green River, UT"
1708,City of Greenbelt
1035,"City of Greenville, NC"
913,"City of Gresham, OR"
1036,"City of Gulf Shores, AL"
1936,"City of Gulfport, MS"
1037,"City of Hackensack, NJ"
,
11,"City of Hampton, VA"
1709,City of Hanford
1819,"City of Harker Heights, TX"
1038,"City of Harrison, AR"
487,"City of Hays, KS"
488,"City of Heber City, UT"
489,"City of Henderson, NV"
78,"City of Hermiston, OR"
1710,City of Hickory
1039,"City of Highland Park, IL"
490,"City of Hildale, UT"
347,"City of Hillsboro, OR"
264,"City of Hoboken, NJ"
1417,"City of Hogansville, GA"
331,"City of Hollywood, FL"
,
1040,"City of Hot Springs, AR"
61,"City of Houston, TX"
1712,City of Huntington
491,"City of Huntington Beach, CA"
1713,City of Huntsville
1041,"City of Huntsville, AL"
492,"City of Hurricane, UT"
1042,"City of Hutchinson, KS"
493,"City of Hutto, TX"
494,"City of Hyattsville, MD"
495,"City of Hyde Park, UT"
107,"City of Imperial Beach, CA"
863,City of Indianapolis
21,"City of Iowa City, IA"
95,"City of Irvine, CA"
1920,City of Ithaca
877,"City of Jacksonville, FL"
1043,"City of Jersey City, NJ"
1044,"City of Joliet, IL"
1714,City of Joplin
1045,"City of Junction City, KS"
1715,City of Kalamazoo
1716,City of Kannapolis
711,"City of Kansas City, MO"
496,"City of Kaysville, UT"
1046,"City of Kennesaw, GA"
612,Liberty Utilities
497,"City of Kerrville, TX"
22,"City of Key West, FL"
1717,City of Kilgore
498,"City of Killeen, TX"
499,"City of Kingman, AZ"
351,"city of kingsburg, CA"
1718,City of Kingston
500,"City of Kingsville, TX"
1719,City of Kinston
1047,"City of Kinston, NC"
914,"City of Kitchener,  ON CAN"
345,"City of La Mesa, CA"
1660,City of La Porte
501,City of Lacey (WA)
629,New Braunfels Utilities
502,"City of Lago Vista, TX"
1048,"City of Lagrange, GA"
1049,"City of Lake Forest, IL"
634,Riverside Public Utilities
1720,"City of Lakeport, CA"
503,City of Lancaster (PA)
1050,"City of Lansing, MI"
504,"City of Laramie, WY"
1484,"City of Largo, CA"
505,"City of Las Cruces, NM"
259,"City of Las Vegas, NV"
1721,City of Laurel
1051,"City of Lawrence, KS"
1052,"City of Leavenworth, KS"
1838,City of Lebanon Missouri
646,"State of Utah, Department of Environmental Quality"
647,Suburban Water Systems
1722,City of Lees Summit
506,"City of Lehi, UT"
1723,City of Lewisville
1724,City of Lexington
105,"City of Lima, OH"
507,"City of Lincoln, NE"
715,"City of Little Rock, AR"
508,City of Littleton
509,"City of Livermore, CA"
1053,"City of Livonia, MI"
510,"City of Logan, UT"
104,"City of Lompoc, CA"
511,"City of Long Beach, CA"
512,"City of Longmont, CO"
269,"City of Los Angeles, CA"
513,"City of Louisville, KY"
514,"City of Loveland, CO"
1541,"City of Lubbock, TX"
1577,City of Macomb
1725,City of Madera
1726,"City of Madison, WI"
515,"City of Manhattan Beach, CA"
1054,"City of Manhattan, KS"
1727,"City of Manitou Springs, CO"
,
1935,City of Manter KS
852,"City of Maple Grove, MN"
516,"City of Maricopa, AZ"
,
679,Water Policy Advisory Committee
680,Water Resources Advisory Board
1056,"City of Marion, IA"
1057,"City of Marion, IL"
1058,"City of Martinsville, VA"
1059,"City of Mattoon, Illinois"
685,Valley Water
693,Moscow
699,Birmingham
1060,"City of McDonough, GA"
1061,"City of McHenry, IL"
1062,"City of Medford, OR"
827,City of Memphis Housing and Community Development
,
835,"City of Menlo Park, CA"
1063,"City of Meriden, CT"
1064,"City of Meridian, MS"
718,"Smart Cities Mission, Ministry of Housing & Urban Affairs, Govt. of India"
517,"City of Mesa, AZ"
518,"City of Mesquite, NV"
1728,City of Methuen
7,"City of Miami Beach, FL"
267,"City of Miami, FL"
,
519,"City of Midvale, UT"
849,"City of Midwest City, OK"
1066,"City of Milford, CT"
,
731,San Diego Community College District
732,San Diego Convention Center
520,"City of Millbrae, CA"
735,San Diego Regional Airport Authority
737,SANDAG
521,"City of Minnetonka, MN"
742,League of CA Cities
522,City of Mission (KS)
523,"City of Moab, UT"
46,"City of Mobile, AL"
1067,"City of Moline, IL"
1068,"City of Monroe, GA"
524,"City of Monterey Park, CA"
763,Montgomery County Government
,
,
525,"City of Mountain View, CA"
870,"City of Myrtle Beach, SC"
851,"City of Napa, CA"
98,"City of Naperville, IL"
775,City of Mount Vernon
526,"City of Naples City, UT"
1729,City of Nashville
1069,"City of New Berlin, WI"
1070,"City of New Britain, CT"
784,City of São Paulo
916,"City of New Haven, CT"
790,CPS HR Consulting
6,"City of New Orleans, LA"
795,Cochrane
324,"City of New York, NY"
797,"Center for Government Innovation, WA State Auditor's Office"
917,"City of Newark, NJ"
1653,City of Newcastle OK
1071,"City of Newnan, GA"
1072,"City of Newton, KS"
527,"City of Nibley, UT"
1073,"City of Nichols Hills, OK"
528,"City of Nogales, AZ"
77,"City of Norfolk, Virginia"
1730,"City of North Charleston, SC"
1731,City of North Mankato
1732,City of Northfield
529,"City of Northglenn, CO"
1074,"City of Northport, AL"
786,"City of Novato, CA"
1075,"City of Novi, MI"
1618,City of Oak Ridge
14,"City of Oakland Park, Florida"
76,"City of Oakland, CA"
530,"City of Oberlin, OH"
1076,City of Ocean City NJ
725,"City of Oceanside, CA"
,
918,"City of Omaha, NE"
531,City of Ontario
91,"City of Opelika, AL"
532,City of Orange (TX)
262,"City of Orlando, FL"
1077,"City of Osawatomie, KS"
919,"City of Ottawa, ON"
1733,City of Overland Park
1078,"City of Owensboro, KY"
533,"City of Oxnard, CA"
1079,"City of Ozark, AL"
1481,"City of Ozark, MO"
776,"City of Palestine, TX"
,"City of Palm Bay, FL"
314,"City of Palm Coast, FL"
129,"City of Palmdale, CA"
534,"City of Palo Alto, CA"
535,"City of Paradise, UT"
1080,"City of Park City, UT"
403,"City of Park Ridge, IL"
,
1734,City of Pawtucket
536,City of Payson (UT)
1081,"City of Pearl, mS"
134,"City of Pearland, Texas"
1673,City of Perris
34,"City of Perth Amboy, NJ"
875,Hudson River - Black River Regulating District
1631,"City of Pflugerville, Texas"
1919,City of Philadelphia Department of Commerce
39,"City of Philadelphia, PA"
537,"City of Phoenix, AZ"
1650,City of Pierre
538,"City of Pinellas Park, FL"
1817,City of Pittsburgh
539,"City of Placentia, CA"
1082,"City of Plainfield, NJ"
63,"City of Plano, TX"
540,"City of Pleasanton, CA"
541,"City of Port Lavaca, TX"
96,"City of Portland, Maine"
920,"City of Portland, Oregon"
726,"City of Poway, CA"
1083,"City of Prattville, AL"
1930,"City of Prior Lake, MN"
542,"City of Providence City, RI"
,
814,"City of Quincy, IL"
339,"City of Raleigh, NC"
289,"City of Rancho Cucamonga, CA"
544,"City of Rapid City, SD"
710,"City of Reading, PA"
42,"City of Redlands, CA"
1084,"City of Reidsville, NC"
545,"City of Reno, NV"
1599,City of Richardson
546,City of Richmond (CA)
278,"City of Richmond, VA"
1085,"City of Ridgeland, mS"
271,"City of Riverside, CA"
1086,"City of Riverview, MI"
865,"City of Roanoke, VA"
103,"City of Rochester Hills,  MI"
924,City/County Association of Governments of San Mateo County
1810,City of Rochester NY
1087,"City of Rock Island, IL"
1088,"City of Rockford, IL"
1576,City of Rockville Maryland
547,"City of Rockville, MD"
1089,"City of Rolling Meadows, IL"
1090,"City of Rome, GA"
1091,"City of Romulus, MI"
548,"City of Rosemead, CA"
1541,"City of Roseville, CA"
113,City of Sacramento
1735,"City of Salem, MA"
1092,"City of Salina, KS"
71,"City of Salinas, CA"
,
261,"City of San Antonio, TX"
550,"City of San Bernardino, CA"
551,"City of San Clemente, CA"
27,"City of San Diego, CA"
552,"City of San Elizario, TX"
950,8th Judicial District of Kansas
553,"City of San Fernando, CA"
554,"City of San Joaquin, CA"
258,"City of San Jose, CA"
555,"City of San Juan, TX"
83,"City of San Leandro, CA"
92,"City of San Luis Obispo, CA"
1736,"City of San Marcos, TX"
350,"City of Sandy Springs, GA"
960,Bessemer IT
961,"Board of Fire Commissioners., Manalapan Twp Fire District 2"
556,"City of Sandy, UT"
557,"City of Sanford, NC"
558,"City of Santa Barbara, CA"
559,"City of Santa Cruz, CA"
560,"City of Santa Fe, NM"
122,"City of Santa Monica, CA"
561,"City of Santa Rosa, CA"
708,"City of Sarasota, FL"
33,"City of Savannah, GA"
294,"City of Scottsdale, AZ"
1842,City of Scranton
1093,City of Seabrook TX
562,"City of SeaTac, WA"
54,"City of Seattle, WA"
1094,"City of Seguin, TX"
137,"City of Sequim, WA"
1095,"City of Seward, AK"
855,"City of Sheboygan, WI"
1493,"City of Shoreline, WA"
563,"City of Sierra Madre, CA"
564,"City of Signal Hill, CA"
565,"City of Simi Valley, CA"
566,City of Sioux Falls
567,"City of Smithfield, UT"
1096,"City of Smyrna, GA"
1578,City of Snohomish
1737,City of Socorro
727,"City of Solana Beach, CA"
131,"City of Somerville, MA"
568,"City of Sonora, CA"
846,"City of South El Monte, CA"
,
569,"City of South Jordan, UT"
570,"City of South Salt Lake, UT"
921,"City of Southfield, MI"
571,"City of Spanish Fork, UT"
1097,"City of Springfield, IL"
1098,"City of St. Charles, IL"
,
1518,City of St. Louis
1738,City of St. Louis Park
1492,"City of St. Petersburg, FL"
572,"City of Steamboat Springs, CO"
,
857,City of Stockton
,
1100,"City of Suffolk, VA"
1587,City of Sugar Hill
573,"City of Sunnyvale, CA"
574,"City of Surprise, AZ"
575,City of Syracuse (UT)
,
576,"City of Takoma Park, MD"
1101,"City of Tallmadge, OH"
1739,City of Tamarac
893,"City of Tampa, FL"
1853,City of Tarrant
1934,"City of Tavares, FL"
577,"City of Tempe, AZ"
330,"City of Thornton, CO"
578,"City of Thousand Oaks, CA"
1102,"City of Tifton, GA"
1740,"City of Toledo, OH"
1457,"City of Tomball, Texas"
579,"City of Tooele, UT"
,
133,"City of Toronto, CAN"
580,"City of Torrance, CA"
1103,"City of Troy, Alabama"
581,"City of Tucson, AZ"
124,"City of Tukwila, Washington"
1104,"City of Tuscaloosa, AL"
582,"City of Tustin, CA"
583,City of Union City (GA)
1741,City of Universal City
584,"City of Upland, CA"
1105,"City of Urbana, IL"
862,"City of Vallejo, CA"
810,"City of Vancouver, BC"
,
67,"City of Vassar, MI"
1106,"City of Venice, FL"
88,"City of Ventnor City, NJ"
1108,"City of Vineland, NJ"
37,"City of Virginia Beach, VA"
126,"City of Vista, California"
585,"City of Waco, TX"
1109,"City of Walker, MI"
1110,"City of Warrenville, IL"
1111,"City of Warwick, RI"
826,"City of Wasco, CA"
1561,City of Washougal
1112,"City of Waterbury, CT"
923,"City of Wentzville, MO"
,
586,"City of West Columbia, SC"
1113,"City of West Wendover, NV"
587,"City of Westminster, CO"
303,"City of Wheaton, IL"
1114,"City of White Settlement, TX"
588,City of Whittier
1742,City of Wilmington
1743,"City of Wilmington, NC"
1115,"City of Wilton Manors, FL"
589,"City of Windcrest, TX"
590,"City of Winfield, KS"
1116,City of Winston-Salem
1592,"City of Wisconsin Rapids, WI"
591,"City of Wood Dale, IL"
1117,"City of Woodbury, MN"
1928,"City of Woodland Hills, UT"
592,"City of Woodstock, IL"
1118,"City of Wray, CO"
593,"City of Wyoming, MI"
1119,"City of Yuma, AZ"
594,"City of Zanesville, OH"
861,Clarendon County Council
,
,Clayton County Board of Commissioners
1121,"Clayton County, GA"
1122,Cleantech San Diego
728,"Cloud County, KS"
1123,Coachella Valley Water District
1744,Coastside County Water District
595,"Cobb County, GA"
1124,"Coffey County, KS"
1125,"Colbert County Commission, AL"
1126,College of Charleston
1127,"Collier County, FL"
878,Colorado Water Conservation Board
597,Colorado Workforce Development Council
1852,"Columbia County, GA"
1128,Columbia Shuswap Regional District
1870,"Columbus Consolidated Government, GA"
307,"Columbus Consolidated Govt. IT, GA"
,
1632,Commonwealth Of Massachusetts
1594,Concord New Hampshire
1583,Connecticut Conference of Municipalities
1130,"Contra Costa County, GA"
925,Cook County
1572,Copper Mountain Consolidated Metropolitan District
1745,Coral Springs Improvement District
759,"County of Alpena, MI"
1131,City of Vestavia Hills
1107,"County of Branch, MI"
1132,"County of Brunswick, NC"
1133,"County of Calhoun, SC"
1134,"County of Carbon, PA"
1135,"County of Carteret, NC"
1136,"County of Clinton, MI"
1137,"County of Eaton, MI"
1138,"County of Fairfax, VA"
879,"County of Hanover, VA"
1139,"County of Hillsdale, MI"
1140,"County of Ingham, MI"
1141,"County of Isabella, Michigan"
1447,County of Los Angeles
824,County of Marin
1887,County of McLennan
1746,"County of Mecklenburg, NC"
1142,"County of Mercer, NJ"
1143,"County of Mobile, AL"
1144,"County of Monroe, MI"
1145,"County of Morris, NJ"
1146,"County of Nevada, CA"
1147,"County of Oceana, MI"
1148,"County of Onslow, NC"
1149,"County of Passaic, NJ"
1150,"COUNTY OF PERRY, MO"
1546,"County of Roanoke, Virginia"
1582,"County of Rowan, NC"
1151,"County of Saginaw, MI"
1152,County of San Diego
729,County of Santa Barbara
794,County of Sonoma Energy and Sustainability Division
17,"County of St. Joseph, MI"
1153,"County of Sumter, SC"
1154,"County of Sussex, NJ"
1155,County of Winona
1626,Courmayeur Municipality
1931,"Covington Water, WA"
598,"Coweta County, GA"
1156,"Crawford County, MI"
1157,Crescenta Valley Water District
599,"Cresskill Board of Education, NJ"
1158,Cucamonga Valley Water District
1747,Cuyahoga County
355,"Davidson County, NC"
1159,"Davie County, NC"
783,DeKalb County Board of Health
1474,"DeKalb County Government, GA"
1161,"DeKalb County Government, IL"
1162,Delaware River Port Authority
1163,Denver Water
600,Department of State Health Services
1522,"Desert Water Agency, CA"
601,DeKalb County Government
1160,"Detroit, MI"
798,"Diablo Water District, CA"
602,"Dickinson County, KS"
1164,District of Columbia
856,District of Columbia Water and Sewer Authority
926,"Douglas County, KS"
1165,"Downers Grove Sanitary District, IL"
300,"DuPage County, IL"
1166,"Eagle County, CO"
1748,Eagle River Water & Sanitation District
1749,Eagle River Watershed Council
1750,East Bay Dischargers Authority
1751,East Bay Municipal Utility District
603,East Boulder County Water
1752,Eastern New Mexico Water Utility Authority
1753,Edgar County Probation Department
1511,"Edison Township, NJ"
1167,"Egg Harbor Township, NJ"
1168,El Toro Water District
604,Elk Grove Village Public Library
1170,"Elk Grove Village, IL"
1169,"Ellis County, KS"
945,Elmhurst Park District
1516,"Elmore County Commission, AL"
1171,"Emmet County, MI"
1172,Environmental Protection Agency
1672,"Evesham Township, NJ"
1173,"Ewing Township, NJ"
1174,"Fayette County Board of Commissioners, GA"
1175,Federal Emergency Management Agency
1495,"Finney County, KS"
290,"Florence County, SC"
1176,"Floyd County, GA"
1177,Foothill Municipal Water District
1754,"Forest Preserve District of Will County, IL"
1178,Foresthill Public Utility District
605,Joint Meeting of Essex & Union County
1197,"Forsyth County Board of Commissioners, GA"
1179,Fort Collins-Loveland Water District
1755,Fountain Creek Watershed Flood Control and Greenway District
1756,"Fox Lake, IL"
1861,Franklin County Board of County Commissioners
858,Fraser Michigan
1644,Fulton County NY
1505,"Fulton County, GA"
1472,GA Department of Law (Atty. General's Office)
1180,Galveston County
1823,Gardnerville Ranchos GID
1757,"Genesee County, MI"
1181,Georgia Department of Law
1182,Georgia Emergency Management Agency
1869,Georgia Technology Authority
401,"Glynn County, GA"
1183,Grandview Missouri
1562,Great Lakes Water Authority
1184,Greater Boise Auditorium District
402,Greater Cincinnati Water Works
277,Greater Cleveland Regional Transit Authority
1580,Greater Monterey County Integrated Regional Water Management
1758,"Greenfield, MA"
49,"Greensboro, NC"
1408,"Greenvale Township, MN"
1428,"Grundy County, IL"
1185,Guilford County
1803,Gulf Coast Authority
897,"Gwinnett County Transit, GA"
301,"Habersham County, GA"
,
848,Hainesport Township
1902,Monroe County Sheriff's Office
1230,"Hall County, GA"
1186,Hampton Roads Sanitation District
606,NJ Office of Legislative Services
1233,"Hardyston Township, NJ"
1187,"Harnett County, NC"
1188,Harris County Board of Commissioners
1189,Harris County Commissioners Court
,
